Name: 天津卫视, URL: http://110.178.77.222:8084/rtp/239.1.1.46:8046$1920x1080, Date: 2024-10-18, Resolution: 1920x1080, Response Time: 119 ms
Name: 天津卫视, URL: http://114.243.99.81:4022/rtp/239.3.1.141:1234$1920x1080, Date: 2024-10-13, Resolution: 1920x1080, Response Time: 120 ms
Name: 天津卫视, URL: http://114.243.105.66:8822/rtp/239.3.1.141:1234$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 120 ms
Name: 天津卫视, URL: http://171.213.214.251:4022/rtp/239.93.0.167:5140$1920x1080, Date: 2024-10-15, Resolution: 1920x1080, Response Time: 121 ms
Name: 天津卫视, URL: http://117.57.78.231:8888/rtp/238.1.78.20:6088$1920x1080, Date: 2024-10-17, Resolution: 1920x1080, Response Time: 123 ms
Name: 天津卫视, URL: http://enlen.vip:4022/rtp/239.200.200.69:1234$1920x1080, Date: 2024-04-14, Resolution: 1920x1080, Response Time: 123 ms
Name: 天津卫视, URL: http://222.134.245.16:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 天津卫视, URL: http://211.158.80.111:8888/rtp/225.0.4.82:7980$1920x1080, Date: 2024-10-17, Resolution: 1920x1080, Response Time: 125 ms
Name: 天津卫视, URL: http://120.6.7.108:4022/rtp/239.253.92.91:8021$1920x1080, Date: 2024-09-26, Resolution: 1920x1080, Response Time: 125 ms
Name: 天津卫视, URL: http://175.9.194.24:4502/rtp/239.76.253.185:9000$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 125 ms
Name: 天津卫视, URL: http://112.226.139.185:9999/rtp/239.253.254.89:8000$1920x1080, Date: 2024-10-12, Resolution: 1920x1080, Response Time: 125 ms
Name: 天津卫视, URL: http://220.178.184.252:4000/rtp/238.1.78.20:6088$1920x1080, Date: 2024-10-16, Resolution: 1920x1080, Response Time: 125 ms
Name: 天津卫视, URL: http://114.243.156.93:8888/rtp/239.3.1.141:1234$1920x1080, Date: 2024-10-17, Resolution: 1920x1080, Response Time: 125 ms
Name: 天津卫视, URL: http://zhixiao.outside.live.pthv.gitv.tv/live/TJWShd-8M/live.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
